INSTRUMENT,COMPANY,MIN TRADED QUANTITY,MARGIN,LONG POSITION SWAP,SHORT POSITION SWAP,MARKET HOURS *
NovolipetskSteel,Novolipetsk Steel OAO,100,20%,-0.040929,0.02577,7:00 am to 3:30 pm
NovoNordisk,Novo Nordisk A/S,5,5%,-0.019291,-0.018535,7:00 am to 3:30 pm
Novozymes,Novozymes A/S,5,5%,-0.020719,-0.019907,7:00 am to 3:30 pm
NTT,Nippon Telegraph & Telephone Corp,5,5%,-0.377,-0.348,11:05 pm to 5:00 am
NTTDocomo,NTT Docomo Inc,20,5%,-0.196914,-0.181767,11:05 pm to 5:00 am
NVDA,NVIDIA Corporation,30,5%,-0.013227,-0.005669,1:30 pm to 8:00 pm
NXPSemicon,NXP Semiconductors NV,2,5%,-0.010476,-0.00449,1:30 pm to 8:00 pm
OML,Old Mutual plc,250,5%,-0.000159,-0.000106,7:00 am to 3:30 pm
OMV,OMV AG,10,5%,-0.003345,-0.003342,7:00 am to 3:30 pm
OR,L'OREAL SA,5,5%,-0.012972,-0.012962,7:00 am to 3:30 pm
OrangePolska,Orange Polska SA,100,10%,-0.000514,-0.000129,7:00 am to 2:45 pm
ORCL,Oracle Corporation,15,5%,-0.004307,-0.001846,1:30 pm to 8:00 pm
ORLEN,Polski Koncern Naftowy ORLEN SA,10,10%,-0.012309,-0.003077,7:00 am to 2:45 pm
PaloAltoNetwork,Palo Alto Networks Inc,1,5%,-0.011323,-0.004853,1:30 pm to 8:00 pm
Panasonic,Panasonic Corporation,30,5%,-0.098403,-0.090833,11:05 pm to 5:00 am
PayPal,PayPal Holdings Inc.,10,5%,-0.004801,-0.002058,1:30 pm to 8:00 pm
PAYX,Paychex; Inc.,10,5%,-0.00559,-0.002396,1:30 pm to 8:00 pm
PCLN,Priceline.com Incorporated,1,5%,-0.175869,-0.075373,1:30 pm to 8:00 pm
Pembina,Pembina Pipeline Corp,10,5%,-0.003669,-0.002446,1:30 pm to 8:00 pm
PepsiCo,PepsiCo; Inc.,5,5%,-0.01105,-0.004736,1:30 pm to 8:00 pm
PFE,Pfizer Inc.,15,5%,-0.003154,-0.001352,1:30 pm to 8:00 pm
PG,Procter & Gamble Co.,5,5%,-0.008383,-0.003593,1:30 pm to 8:00 pm
PGE,Polska Grupa Energetyczna SA,50,10%,-0.001276,-0.000319,7:00 am to 2:45 pm
PGNiG,Polskie Gornictwo Naftowe i Gazownictwo SA,100,10%,-0.000704,-0.000176,7:00 am to 2:45 pm
Philips,Royal Philips NV,20,5%,-0.002199,-0.002197,7:00 am to 3:30 pm
PKOBank,PKO Bank Polski,20,10%,-0.003864,-0.000966,7:00 am to 2:45 pm
Potash,Potash Corporation of Saskatchewan Inc,15,5%,-0.001872,-0.001248,1:30 pm to 8:00 pm
PowerCorp,Power Corporation of Canada,10,5%,-0.002423,-0.001615,1:30 pm to 8:00 pm
PowerFinancial,Power Financial Corp,10,5%,-0.002694,-0.001796,1:30 pm to 8:00 pm
PRU,Prudential plc,40,5%,-0.001464,-0.000976,7:00 am to 3:30 pm
PUB,PUBLICIS GROUPE SA,10,5%,-0.004581,-0.004577,7:00 am to 3:30 pm
PZU,Powszechny Zaklad Ubezpieczen SA,1,10%,-0.005121,-0.00128,7:00 am to 2:45 pm
QBE,QBE Insurance Group Ltd,40,5%,-0.001516,-0.000267,12:03 am to 6:00 am
QCOM,QUALCOMM Incorporated,5,5%,-0.005614,-0.002406,1:30 pm to 8:00 pm
QQQ,NASDAQ 100 TRUST,1,5%,-0.0134,-0.005743,1:30 pm to 8:00 pm
Raiffeisen,Raiffeisen Bank International AG,10,5%,-0.001593,-0.001592,7:00 am to 3:30 pm
RB,Reckitt Benckiser Group plc,10,5%,-0.006343,-0.004229,7:00 am to 3:30 pm
RBS,Royal Bank of Scotland Group plc,150,5%,-0.000219,-0.000146,7:00 am to 3:30 pm
ReedElsevier,Reed Elsevier plc,30,5%,-0.001354,-0.000903,7:00 am to 3:30 pm
Repsol,Repsol SA,10,5%,-0.001032,-0.001031,7:00 am to 3:30 pm
RestaurantBrands,Restaurant Brands International Inc,5,5%,-0.006796,-0.004531,1:30 pm to 8:00 pm
Reuters,Thomson Reuters Corp,5,5%,-0.004871,-0.003248,1:30 pm to 8:00 pm
RI,PERNOD RICARD SA,5,5%,-0.008269,-0.008262,7:00 am to 3:30 pm
Richemont,Compagnie Financiere Richemont SA,3,5%,-0.004552,-0.006827,7:00 am to 3:20 pm
RIMM,Research in Motion Limited,50,5%,-0.001009,-0.000432,1:30 pm to 8:00 pm
RIO,Rio Tinto plc,15,5%,-0.00264,-0.00176,7:00 am to 3:30 pm
RNO,RENAULT SAS,10,5%,-0.00601,-0.006006,7:00 am to 3:30 pm
Roche,Roche Holding Ltd.,1,5%,-0.014853,-0.02228,7:00 am to 3:20 pm
Rockwell,Rockwell Automation; Inc.,2,5%,-0.015296,-0.006556,1:30 pm to 8:00 pm
Rosneft,Rosneft NK OAO,30,20%,-0.115247,0.072563,7:00 am to 3:30 pm
Rostelecom,Rostelecom PAO,100,20%,-0.027559,0.017352,7:00 am to 3:30 pm
RoyalBank,Royal Bank Of Canada,5,5%,-0.007748,-0.005166,1:30 pm to 8:00 pm
